userId,Average Rating per User
11,4.34
24,3.64
54,3.77
58,4.2
91,3.43
96,3.65
104,3.05
116,2.64
131,2.26
134,3.43
156,4.16
208,3.62
220,3.95
245,4.13
247,3.61
251,3.91
258,3.38
271,3.05
278,3.41
294,3.41
298,3.5
309,3.79
318,3.29
347,3.55
348,4.08
359,3.76
367,3.19
370,4.15
375,4.17
387,3.98
388,2.51
394,3.9
413,3.37
421,3.39
422,3.25
424,3.29
430,3.56
457,3.33
469,3.06
471,3.52
489,3.59
520,4.29
554,3.73
572,3.75
578,3.56
586,3.43
587,3.56
609,3.34
610,3.58
614,3.35
631,3.6
632,3.22
637,3.26
648,3.6
663,3.75
664,4.52
702,3.05
710,4.06
717,3.6
729,3.18
739,4.16
741,3.93
744,3.64
768,3.53
775,3.75
777,3.75
802,4.11
812,3.1
843,3.48
847,3.91
856,3.89
872,3.73
892,3.76
903,3.32
910,4.03
935,3.03
955,3.17
969,3.7
970,3.66
971,3.53
982,3.32
1001,3.3
1011,3.49
1048,3.72
1052,3.6
1057,3.67
1068,4.14
1085,4.32
1093,3.76
1095,3.82
1113,3.44
1135,3.81
1140,3.72
1141,3.87
1154,3.12
1155,3.42
1165,3.45
1175,3.38
1185,3.73
1190,3.92
1191,3.37
1200,3.8
1222,3.9
1244,3.83
1270,4.16
1288,3.73
1296,3.75
1309,3.69
1323,3.92
1334,3.88
1339,3.76
1350,3.61
1372,4.09
1378,3.93
1411,3.74
1419,3.82
1421,2.87
1433,3.75
1446,2.97
1453,3.7
1494,3.43
1507,3.32
1515,3.63
1516,2.54
1523,3.35
1548,3.43
1560,3.32
1566,3.28
1568,3.12
1571,2.48
1588,3.63
1600,3.56
1602,3.83
1608,3.7
1627,3.88
1629,3.72
1643,3.12
1644,3.38
1667,3.85
1672,3.84
1678,3.07
1715,3.51
1729,3.45
1741,2.98
1746,3.92
1748,3.49
1755,3.55
1763,3.38
1810,3.62
1813,3.67
1815,3.6
1825,3.98
1837,4.26
1849,3.53
1854,3.55
1855,3.58
1864,3.79
1876,3.23
1887,3.15
1906,3.57
1908,3.35
1931,4.18
1937,3.81
1942,3.56
1963,3.98
1966,3.81
1972,3.69
1984,3.56
2001,3.8
2004,3.68
2005,3.52
2008,3.24
2024,3.73
2029,3.21
2038,3.6
2047,3.84
2051,3.63
2068,4.11
2071,3.63
2072,3.58
2081,3.76
2082,3.95
2084,1.38
2099,3.88
2107,4.04
2113,3.17
2138,3.6
2147,3.29
2158,3.93
2161,4.07
2171,3.79
2184,3.5
2198,3.62
2209,3.5
2217,3.08
2232,3.26
2242,3.51
2259,4.08
2261,2.99
2269,3.31
2270,3.77
2274,4.03
2289,3.77
2310,3.58
2311,4.22
2344,3.97
2349,4.06
2352,3.24
2367,3.57
2368,3.65
2374,3.17
2378,4.02
2397,3.75
2398,3.33
2428,3.99
2433,3.26
2444,2.79
2483,3.25
2484,3.65
2502,3.5
2507,3.96
2515,3.21
2517,3.6
2518,3.47
2544,3.86
2558,3.92
2568,3.01
2606,3.85
2611,2.48
2644,3.76
2650,3.77
2657,3.86
2661,4.08
2669,3.67
2684,4.09
2702,3.87
2711,3.98
2718,4.06
2732,3.46
2742,3.66
2756,3.32
2757,3.93
2762,3.66
2772,3.46
2780,3.55
2812,4.1
2843,2.94
2864,3.75
2866,3.68
2868,3.46
2891,3.07
2898,3.91
2903,3.99
2909,3.05
2915,3.63
2925,3.56
2928,3.22
2930,3.69
2942,4.01
2945,3.74
2955,3.68
2959,3.59
2988,3.8
3020,3.77
3029,3.05
3031,3.05
3033,3.65
3051,3.56
3086,3.76
3127,2.53
3157,3.64
3163,4.01
3171,3.73
3173,3.47
3179,3.36
3184,3.64
3197,3.95
3201,3.01
3207,3.91
3210,3.97
3218,3.1
3236,3.58
3249,3.32
3251,3.75
3257,3.31
3263,3.58
3268,3.84
3269,3.79
3277,2.96
3284,3.82
3289,3.49
3293,3.36
3295,3.65
3318,3.54
3352,3.13
3364,4.3
3397,3.04
3406,3.79
3424,2.99
3428,4.07
3443,3.4
3450,2.61
3457,3.41
3461,3.69
3487,3.68
3490,3.23
3508,3.13
3513,3.54
3514,3.88
3515,3.96
3530,4.01
3540,3.59
3571,3.5
3576,3.23
3589,3.29
3592,3.08
3597,3.67
3618,3.74
3625,3.76
3629,3.64
3651,3.35
3660,2.86
3663,3.39
3664,3.46
3667,3.73
3673,3.16
3676,3.63
3697,3.48
3700,3.57
3704,4.09
3743,3.47
3746,3.46
3761,3.92
3774,2.85
3797,2.96
3827,3.71
3846,4.26
3858,3.01
3864,3.41
3890,3.79
3899,3.97
3907,3.37
3916,3.41
3927,3.35
3948,3.4
3971,3.68
3976,3.68
3986,4.27
3990,3.27
4033,4.18
4034,3.33
4038,3.19
4066,3.16
4083,3.92
4084,4.26
4087,3.73
4089,3.94
4114,3.56
4129,3.64
4140,2.68
4150,4.06
4184,3.03
4191,2.58
4215,4.28
4217,2.57
4222,4.12
4244,3.53
4252,4.14
4276,2.61
4284,4.02
4285,3.51
4290,3.31
4295,3.84
4302,3.39
4308,3.86
4309,3.56
4311,3.2
4313,3.91
4331,3.99
4347,2.95
4357,3.14
4358,4.05
4371,3.3
4389,3.57
4417,3.78
4423,4.06
4428,3.38
4450,3.04
4483,4.26
4500,4.45
4507,3.53
4526,4.01
4529,3.18
4531,3.41
4548,3.94
4551,3.63
4563,3.54
4575,4.01
4581,3.56
4587,3.61
4594,4.45
4598,3.73
4600,3.64
4605,3.39
4607,3.74
4629,3.48
4634,3.88
4641,3.39
4660,3.75
4677,3.68
4696,4.19
4745,3.75
4748,3.31
4759,3.71
4760,3.92
4769,3.13
4772,3.68
4786,3.59
4793,3.68
4822,4.16
4829,3.66
4831,2.78
4855,3.71
4866,3.91
4884,3.63
4914,3.51
4924,3.17
4937,3.56
4955,3.24
4965,3.34
4967,3.38
4968,3.47
4974,2.77
4989,3.86
4999,3.03
5007,4.27
5036,2.72
5041,3.69
5043,4.15
5046,3.15
5063,3.13
5070,4.41
5074,3.32
5076,3.36
5080,3.8
5084,4.02
5092,3.81
5102,3.65
5107,3.26
5110,3.23
5137,2.79
5138,3.3
5155,3.86
5157,4.12
5178,3.49
5195,3.83
5209,3.87
5216,4.09
5225,3.66
5231,3.58
5276,3.43
5303,3.91
5314,3.27
5329,3.86
5337,3.21
5347,2.11
5348,3.12
5352,3.54
5353,3.78
5360,3.32
5375,4.19
5382,3.39
5384,3.61
5393,3.56
5403,3.76
5412,4.37
5416,4.01
5450,3.34
5453,3.74
5466,3.3
5468,3.82
5475,3.88
5482,3.55
5483,3.31
5503,3.75
5504,2.95
5506,3.62
5513,4.24
5518,3.37
5531,3.47
5544,4.5
5546,4.39
5565,3.18
5570,3.39
5576,3.65
5604,3.46
5606,3.89
5613,3.64
5621,4.09
5622,3.98
5623,3.56
5691,2.11
5695,3.9
5698,3.08
5706,4.0
5725,3.77
5726,3.31
5730,4.04
5743,2.62
5749,3.96
5768,3.3
5784,3.83
5791,3.8
5814,4.01
5825,3.53
5827,3.66
5832,3.54
5843,3.9
5878,3.72
5900,3.24
5904,4.02
5922,3.7
5929,3.9
5952,2.86
5954,3.29
5960,3.8
5995,3.59
6000,3.24
6002,4.2
6021,3.82
6030,3.78
6034,3.36
6039,4.32
6052,3.04
6057,3.12
6059,4.15
6060,3.5
6093,3.43
6095,4.12
6099,3.56
6108,3.78
6111,3.6
6112,3.69
6114,3.78
6132,3.73
6141,3.89
6145,3.86
6152,2.77
6166,3.81
6175,3.35
6207,3.74
6232,3.56
6233,3.66
6236,3.33
6255,2.74
6314,3.82
6318,3.9
6333,3.79
6349,3.12
6366,3.73
6369,3.24
6373,2.83
6387,3.06
6388,3.59
6390,3.61
6418,3.74
6429,3.54
6431,3.96
6447,3.39
6449,3.31
6465,3.9
6540,3.77
6569,3.03
6578,3.69
6597,2.25
6602,3.83
6624,3.24
6630,3.62
6636,4.0
6715,3.62
6719,4.0
6722,3.48
6739,2.87
6743,3.66
6814,2.79
6824,3.92
6843,3.15
6861,3.92
6873,3.6
6880,3.93
6881,3.09
6889,3.93
6904,3.71
