movieId,NumRatingsItem,PopularityGroup
1,8987,high
2,6247,high
6,5644,medium
10,6026,high
11,4209,medium
16,5165,medium
17,3516,low
19,5166,medium
21,5548,medium
25,4631,medium
32,8293,high
34,6687,high
36,4107,low
39,6230,high
47,8435,high
50,8589,high
62,3642,low
70,5120,medium
95,4866,medium
104,5172,medium
110,8752,high
111,6299,high
141,4738,medium
145,3729,low
150,7817,high
153,6519,high
160,3523,low
161,4172,medium
163,4203,medium
165,6583,high
172,3516,low
173,4122,medium
180,3477,low
185,4889,medium
196,3873,low
208,6096,high
223,6312,high
231,6822,high
235,4678,medium
253,6025,high
260,9587,high
266,3426,low
288,5454,medium
292,5216,medium
293,6559,high
296,9746,high
300,4277,medium
316,6035,high
317,3761,low
318,9183,high
329,4480,medium
337,4796,medium
339,4077,low
344,7173,high
349,4970,medium
350,3296,low
353,5135,medium
356,9922,high
357,6052,high
364,7704,high
367,7843,high
368,4844,medium
370,3872,low
377,8671,high
380,7774,high
410,3889,low
420,3322,low
434,4881,medium
435,3530,low
440,4574,medium
441,3313,low
442,5029,medium
454,5059,medium
457,8374,high
466,4085,low
471,3633,low
474,4600,medium
480,9785,high
485,4403,medium
500,7509,high
508,4992,medium
509,3770,low
520,4433,medium
527,8044,high
539,6401,high
541,7909,high
543,3724,low
551,5814,high
552,3481,low
553,3676,low
555,4494,medium
586,7426,high
587,6746,high
588,7311,high
589,9143,high
590,7284,high
592,8446,high
593,9669,high
594,4991,medium
595,6461,high
596,3768,low
597,7410,high
608,8662,high
648,8134,high
653,3749,low
673,3419,low
708,3691,low
733,7261,high
736,7052,high
745,3282,low
750,6370,high
778,6524,high
780,9035,high
784,4725,medium
785,3375,low
786,4112,low
788,5579,medium
802,3470,low
832,4559,medium
858,8125,high
899,3492,low
902,3411,low
903,4806,medium
904,5388,medium
908,4796,medium
910,3771,low
912,6229,high
913,3754,low
919,7320,high
920,4584,medium
923,5631,medium
924,7322,high
953,5042,medium
969,3338,low
1022,3388,low
1027,3637,low
1028,5124,medium
1029,3643,low
1035,4862,medium
1036,8600,high
1059,3902,low
1060,3770,low
1073,6939,high
1079,6710,high
1080,6368,high
1088,4613,medium
1089,7668,high
1090,5938,high
1092,4689,medium
1094,4252,medium
1097,8922,high
1101,7163,high
1120,3661,low
1127,6061,high
1129,3775,low
1136,8272,high
1148,4012,low
1183,4646,medium
1193,7289,high
1196,9512,high
1197,7582,high
1198,9477,high
1199,4811,medium
1200,7760,high
1201,4870,medium
1203,3905,low
1204,3911,low
1206,7305,high
1207,4591,medium
1208,6941,high
1210,9259,high
1213,7095,high
1214,8363,high
1215,4402,medium
1219,6443,high
1220,6660,high
1221,6684,high
1222,7006,high
1225,6099,high
1228,3791,low
1230,4514,medium
1233,3832,low
1234,4649,medium
1240,8976,high
1242,4150,medium
1246,6917,high
1247,5578,medium
1249,3510,low
1250,4038,low
1252,4884,medium
1258,7546,high
1259,6742,high
1262,3791,low
1263,4139,medium
1265,9052,high
1266,5450,medium
1270,9768,high
1271,3340,low
1275,4549,medium
1276,3727,low
1278,5120,medium
1282,4610,medium
1285,4042,low
1287,3413,low
1288,5421,medium
1291,8661,high
1293,3561,low
1302,4844,medium
1304,4764,medium
1307,6632,high
1320,5088,medium
1333,4581,medium
1339,4483,medium
1343,3952,low
1345,3847,low
1347,3308,low
1356,4931,medium
1358,4401,medium
1370,6322,high
1371,3733,low
1372,3557,low
1374,5106,medium
1375,3827,low
1376,4197,medium
1377,6100,high
1380,5858,high
1387,7682,high
1391,6612,high
1393,7061,high
1394,5695,high
1396,4532,medium
1407,6028,high
1408,4628,medium
1466,4309,medium
1479,3337,low
