userId,target_item,pred_top5,was_missing,pred_top10
11,1562,4.5,True,3.98
24,1562,3.21,True,3.04
58,1562,2.64,True,2.85
91,1562,2.9,True,2.74
96,1562,2.84,True,2.82
104,1562,2.84,True,2.63
131,1562,2.94,True,2.78
134,1562,2.87,True,2.82
156,1562,3.72,True,3.73
220,1562,2.48,True,2.66
245,1562,3.28,True,3.06
247,1562,2.88,True,3.0
251,1562,2.87,True,3.26
271,1562,2.9,True,2.82
278,1562,2.87,True,2.76
298,1562,3.65,True,3.62
309,1562,2.75,True,2.77
318,1562,2.15,True,2.4
347,1562,2.71,True,2.65
348,1562,2.91,True,2.7
359,1562,2.55,True,2.78
370,1562,2.37,True,2.54
375,1562,2.84,True,2.82
387,1562,3.17,True,2.97
394,1562,2.57,True,2.46
413,1562,2.56,True,2.66
422,1562,3.7,True,3.7
424,1562,3.26,True,3.27
430,1562,2.75,True,2.69
457,1562,1.69,True,1.94
469,1562,1.06,True,1.52
471,1562,3.25,True,3.08
520,1562,4.25,True,4.16
572,1562,3.56,True,3.44
609,1562,2.91,True,2.76
614,1562,2.64,True,2.66
663,1562,2.84,True,2.75
664,1562,3.44,True,3.17
702,1562,2.39,True,2.41
710,1562,2.84,True,2.75
717,1562,3.08,True,2.87
729,1562,2.71,True,2.65
739,1562,3.53,True,3.34
777,1562,2.32,True,2.32
802,1562,3.17,True,3.19
843,1562,2.84,True,2.82
847,1562,2.62,True,2.69
856,1562,3.14,True,3.21
892,1562,2.79,True,2.95
910,1562,3.14,True,3.11
955,1562,2.19,True,2.41
969,1562,2.84,True,2.82
971,1562,2.96,True,2.93
1048,1562,3.35,True,3.11
1052,1562,2.84,True,2.82
1085,1562,3.64,True,3.63
1093,1562,2.64,True,2.63
1095,1562,2.4,True,2.31
1113,1562,2.84,True,2.87
1135,1562,2.9,True,2.61
1140,1562,2.7,True,2.74
1141,1562,2.56,True,2.69
1154,1562,2.49,True,2.68
1175,1562,2.84,True,2.91
1190,1562,4.19,True,3.62
1191,1562,2.84,True,2.9
1200,1562,2.69,True,2.84
1222,1562,2.96,True,3.05
1288,1562,3.44,True,3.61
1309,1562,2.85,True,2.84
1334,1562,3.05,True,2.96
1339,1562,3.4,True,3.4
1350,1562,3.42,True,3.02
1378,1562,3.23,True,3.05
1433,1562,2.91,True,2.86
1446,1562,2.37,True,2.51
1453,1562,2.58,True,2.62
1494,1562,2.32,True,2.57
1515,1562,2.45,True,2.62
1523,1562,2.27,True,2.26
1560,1562,1.99,True,2.21
1566,1562,3.21,True,3.04
1568,1562,2.8,True,2.73
1588,1562,3.3,True,3.02
1600,1562,2.85,True,2.74
1602,1562,3.5,True,3.61
1627,1562,2.64,True,2.62
1629,1562,2.66,True,2.6
