course_title,level,num_subscribers,platform,price,num_reviews,subject,course_rating,course_organization,category,engagement_score,rating,num_subscribers_scaled,price_scaled,num_reviews_scaled
Ultimate Investment Banking Course,All Levels,2147,Udemy,200.0,23.0,Business Finance,,,Business Finance,0.36963030038132844,1.0189348673814616,0.0008588,1.0,0.0008380397157952268
Complete GST Course & Certification - Grow Your CA Practice,All Levels,2792,Udemy,75.0,923.0,Business Finance,,,Business Finance,2.4331400495762554,1.124641254008992,0.0011168,0.375,0.03363089815995628
Financial Modeling for Business Analysts and Consultants,Intermediate Level,2174,Udemy,45.0,74.0,Business Finance,,,Business Finance,0.48514203854685917,1.0248521296862834,0.0008696,0.225,0.002696301694297686
Beginner to Pro - Financial Analysis in Excel 2017,All Levels,2451,Udemy,95.0,11.0,Business Finance,,,Business Finance,0.3886134178643876,1.0199073060902406,0.0009804,0.47500000000000003,0.00040080160320641277
How To Maximize Your Profits Trading Options,Intermediate Level,1276,Udemy,200.0,45.0,Business Finance,,,Business Finance,0.28817267996466406,1.014762078413112,0.0005103999999999999,1.0,0.0016396429222080523
Trading Penny Stocks: A Guide for All Levels In 2017,All Levels,9221,Udemy,150.0,138.0,Business Finance,,,Business Finance,1.6732393124302791,1.085714197255014,0.0036883999999999997,0.75,0.00502823829477136
Investing And Trading For Beginners: Mastering Price Charts,Beginner Level,1540,Udemy,65.0,178.0,Business Finance,,,Business Finance,0.6182037706221938,1.0316684167920613,0.000616,0.325,0.006485698670067407
"Trading Stock Chart Patterns For Immediate, Explosive Gains",All Levels,2917,Udemy,95.0,148.0,Business Finance,,,Business Finance,0.7574350459584119,1.0388007480190287,0.0011668,0.47500000000000003,0.005392603388595372
Options Trading 3 : Advanced Stock Profit and Success Method,Expert Level,5172,Udemy,195.0,34.0,Business Finance,,,Business Finance,0.8436213170379353,1.0432157692207804,0.0020688,0.975,0.0012388413190016396
The Only Investment Strategy You Need For Your Retirement,All Levels,827,Udemy,200.0,14.0,Business Finance,,,Business Finance,0.15361585638498942,1.0078692029991554,0.00033079999999999996,1.0,0.0005101111313536163
Forex Trading Secrets of the Pros With Amazon's AWS,All Levels,4284,Udemy,200.0,93.0,Business Finance,,,Business Finance,0.8405241426079233,1.0430571118081466,0.0017136,1.0,0.0033885953725633082
